title,artist,year,released,type
Rev It Up,Size 85 High Tops,2020,false,record
Axiom,Steve Drizos,2020,false,record,
Cracks in the Heartland,Dana Lyons,2020,false,record
Cavity Search 2020,Cavity Search Records Compilation,2020,false,record
The Box,Young Jim Carr,2019,true,record
Full Metal Burqa,Jerry Joseph,2018,true,record
One With the Tide,Alice Di Micele,2018,true,record
French Kayaking Music,Jenny Conlee / Steve Drizos,2015,true,record
Scott the Hoople in the Dungeon of Horror,The Minus 5,2014,true,record
Curve and Shake,Walter Salas-Humara,2014,true,record
Singing in the Rain,Jerry Joseph,2014,true,record
Voyagers Without Trace,Ian McCluskey,2015,true,documentary
The Kid,Jeff Winograd,2014,true,short film
