name,type,checkavail
Focal Shape 65 Pair,monitoring,false
Soundways Reveal Speaker Emulation Plug-in,monitoring,false
"2015 Mac-mini (3 GHz Intel Core i7, 16 GB 1600 MHz DDR3, 1T Fusion HD)",monitoring,false
23” Apple Cinema Display,monitoring,false
23” Acer S23OHL Display,monitoring,false
UA Apollo x8,a/d converters,false
UA Apollo Quad Silverface,a/d converters,false
Logic Pro X Version 10.4.4,daw,false
Heritage Audio HA-73 Preamp x2,outboard/hardware,false
UA LA-610 MKII Preamp/Compressor,outboard/hardware,false
Hairball Audio Lola Preamp x2,outboard/hardware,false
Hairball Audio Gold Element Preamp,outboard/hardware,false
Joe Meek ThreeQ Preamp/EQ/Compressor,outboard/hardware,false
Presonus BlueTube Preamp x2,outboard/hardware,false
Focusrite OctoPre MKII Preamp/Compressor ,outboard/hardware,false
Ibanez DM1000 Digital Delay,outboard/hardware,false
Roland RE-120 Space Echo,outboard/hardware,false
SSL Fusion Stereo Analogue Master Processor,outboard/hardware,false
Softube Console1,outboard/hardware,false
Lauten Audio LT-381 Oceanus (All Tube LDC),microphones,false
Audio Technica AT4050 x2,microphones,false
AEA R84 ,microphones,false
BeyerDynamic M160,microphones,false
Audio Technica AT2035,microphones,false
Audio Technica AT2020,microphones,false
Sennheiser 421 x2,microphones,false
Shure SM7B,microphones,false
Audio Technica AT2021,microphones,false
Lauten Audio LA-120 x2,microphones,false
Audio Technica  AE2500 (Dual Capsule),microphones,false
AKG D12 E,microphones,false
Audio Technica ATM25,microphones,false
Shure SM57 x2,microphones,false
Shure Sm58 x3,microphones,false
UAD,plug ins,false
Soundtoys,plug ins,false
Waves,plug ins,false
Valhalla ,plug ins,false
Softube,plug ins,false
2008 Gibson SG Special,guitars,false
Ibanez Artstar AS80 Semi-Hollow Body,guitars,false
Danelectro Hodad 12 String Electric,guitars,false
Alvarez AD60CK Dao Dreadnought Acoustic,guitars,false
Cordoba C5 Nylon String,guitars,false
Martin LX1 3/4 Size Acoustic,guitars,false
Crown “Hofner Style” Bass,guitars,false
"Supro 1600 Supreme (1x10”, 25W)",amps,false
1951 National Tweed (1x10”. 15W),amps,false
"1970’s Univox Solid State (1x12”, 15W)",amps,false
"Fender Hot Rod Deluxe (1x12”, 40W)",amps,true
Motion Sound Pro-145 Rotary Speaker,amps,true
Kimball Grand Piano,keys,false
Baldwin Acrosonic Spinet Piano,keys,false
Hammond B3 w/ Leslie 145 Cabinet,keys,false
Wurlitzer,keys,false
Moog Little Phatty Synth,keys,false
Juno 106 Synth,keys,false
Little Bits Modular Synth,keys,false
Mellotron M4000D,keys,true
Korg microKorg Synth,keys,true
Dave Smith Prophet REV2 Synth,keys,true
"1960’s Ludwig 13”, 16”, 22”",drums/percussion,false
"1980’s Pearl Prestige MLX 10”, 12”, 13”, 16”, 22” (All Maple Shells)",drums/percussion,false
5”x14” Ludwig Black Beauty Snare,drums/percussion,false
5”x14” 1960’s Ludwig Supraphonic Snare,drums/percussion,false
5”x14” Gretsch Nickel Over Steel Snare,drums/percussion,false
6.5”x14” Ludwig Classic Maple Snare,drums/percussion,false
LP Galaxy Conga,drums/percussion,false
LP Galaxy Quinto,drums/percussion,false
LP Galaxy Bongos,drums/percussion,false
6.5”x14” Brass Timbale,drums/percussion,false
Various Auxiliary Percussion and Hand Drums,drums/percussion,false
Roland CompuRhythm CR-8000 Drum Machine,other,false
Theremin,other,false
Large Selection of FX Pedals,other,false
Converted 1950’s Reel to Reel Machine Into Amplifier,other,false
Akai GX-747 dbx 1/4” Tape Deck,other,true
Onkyo Dual Cassette Deck,other,false
Tascam 4 Track Cassette Recorder,other,false
