photo,alt_text
Panther-PDX-control-room.jpg,Image of the control room at the Pather studio in Portland, OR.
Panther-PDX-drums.jpg,Image of drums at the Panther studio in Portland, OR.
Panther-PDX-gear-rack.jpg,Image of a gear rack at the Panther studio in Portland, OR.
Panther-PDX-guitars.jpg,Image of guitars hanging from the wall at the Panther studio in Portland, OR.
Panther-PDX-hammond-organ.jpg,Image of the Hammond organ at the Panther studio in Portland, OR.
Panther-PDX-keyboard-instruments.jpg,Image of a variety of keyboard instruments at the Panther studio in Portland, OR.
Panther-PDX-lounge.jpg,Image of the lounge area at the Panther studio in Portland, OR.
Panther-PDX-Steve-Drizos-engineer.jpg,Image of Steve Drizos in the control room at the Panther studio in Portland, OR.
Panther-PDX-tape-machine.jpg,Image of a tape machine at the Panther studio in Portland, OR. 
Panther-PDX-tracking-room.jpg,Image of the tracking room at the Panther studio in Portland, OR.
